,0.00000001,0.00000004,0.00000018,0.00000078,0.00000336,0.00001438,0.00006158,0.00026367,0.00112884,0.00483293
100,0.1119,0.2301,0.6438,0.7169,0.7133,0.7133,0.7133,0.7133,0.7133,0.7133
200,0.0963,0.425,0.7747,0.8005,0.7947,0.7947,0.7947,0.7947,0.7947,0.7947
500,0.3171,0.7527,0.865,0.8635,0.8552,0.8548,0.8548,0.8548,0.8548,0.8548
1000,0.5782,0.85,0.8867,0.8909,0.8815,0.881,0.881,0.881,0.881,0.881
2000,0.7981,0.8824,0.9043,0.9086,0.895,0.8926,0.8926,0.8926,0.8926,0.8926
5000,0.8721,0.9038,0.9183,0.9202,0.9135,0.9041,0.903,0.903,0.903,0.903
10000,0.8935,0.9147,0.9255,0.9298,0.9229,0.9118,0.9071,0.906,0.906,0.906
,0.02069138,0.08858668,0.37926902,1.62377674,6.95192796,29.76351442,127.4274986,545.5594781,2335.721469,10000
100,0.7133,0.7133,0.7133,0.7133,0.7133,0.7133,0.7133,0.7133,0.7133,0.7133
200,0.7947,0.7947,0.7947,0.7947,0.7947,0.7947,0.7947,0.7947,0.7947,0.7947
500,0.8548,0.8548,0.8548,0.8548,0.8548,0.8548,0.8548,0.8548,0.8548,0.8548
1000,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881
2000,0.8926,0.8926,0.8926,0.8926,0.8926,0.8926,0.8926,0.8926,0.8926,0.8926
5000,0.903,0.903,0.903,0.903,0.903,0.903,0.903,0.903,0.903,0.903
10000,0.906,0.906,0.906,0.906,0.906,0.906,0.906,0.906,0.906,0.906
